Model,term,estimate,std.error,statistic,p.value
mpox,(Intercept),21.899102150377196,4.190215555849529,5.226247160436916,2.552865760451406e-7
mpox,Mpox,41082162.59695352,1892203.150071261,21.711285384661974,5.7618777196652684e-74
included_articles,(Intercept),63.863989236231106,119.43419352865176,0.5347211493575365,0.5930842568654746
included_articles,Fatigue,377767158.4365362,510496308.14641035,0.7399997853230166,0.45965308068916966
included_articles,`Genital wart`,6382880571.874505,1389834813.994199,4.5925461843418365,5.5686744677130725e-6
included_articles,`Herpes simplex`,460853856.3912977,112877270.78666025,4.0827870232822905,5.192814353100172e-5
included_articles,Mpox,38540276.92334697,2162774.2044714084,17.819833824385,3.577156962889839e-55
included_articles,`Sore throat`,-7592771045.260029,1383188779.9511914,-5.489323767886517,6.472900030512408e-8
mpox_covars,(Intercept),-74.53924714994727,6.671192552846512,-11.173301708724077,5.361682191555411e-26
mpox_covars,Mpox,3898598.782306819,3433918.819790499,1.1353206021756421,0.25679154360664613
mpox_covars,roll_n_articles,6.964411143109157,0.8124772152705023,8.571823322812147,1.3138684960059179e-16
mpox_covars,roll_n_studies,15.749255009527419,1.0989883108450562,14.330684734414676,3.365235259938785e-39
included_articles_covars,(Intercept),686.8995725713488,88.8802945616177,7.728367417764852,6.216169671977521e-14
included_articles_covars,Fatigue,-1862702565.960559,357766165.4837893,-5.206480505057596,2.837302728098718e-7
included_articles_covars,`Genital wart`,2221699052.5807323,945074537.9341357,2.3508188649724975,0.019127529598677154
included_articles_covars,`Herpes simplex`,-30070421.30496011,79894130.55901143,-0.37637835338541525,0.7067985509847294
included_articles_covars,Mpox,-2448713.8408658635,3203973.156469583,-0.7642741437834235,0.445071765959984
included_articles_covars,`Sore throat`,-5358301957.892583,941138898.9035971,-5.693423111227119,2.147825454878918e-8
included_articles_covars,roll_n_articles,10.747416345003968,0.8295334875113911,12.955976469673727,3.209561062891939e-33
included_articles_covars,roll_n_studies,16.601924641283237,1.073323795836483,15.467769097902755,3.0894414676529883e-44
